category_level_1,category_level_2,category_level_3
Transportation and Warehousing,Scenic and Sightseeing Transportation,"Scenic and Sightseeing Transportation, Water"
Transportation and Warehousing,Scenic and Sightseeing Transportation,"Scenic and Sightseeing Transportation, Land"
Transportation and Warehousing,Pipeline Transportation,Other Pipeline Transportation
Transportation and Warehousing,Pipeline Transportation,Pipeline Transportation of Natural Gas
Transportation and Warehousing,Pipeline Transportation,Pipeline Transportation of Crude Oil
Transportation and Warehousing,Transit and Ground Passenger Transportation,Other Transit and Ground Passenger Transportation
Transportation and Warehousing,Transit and Ground Passenger Transportation,Charter Bus Industry
Transportation and Warehousing,Transit and Ground Passenger Transportation,School and Employee Bus Transportation
Transportation and Warehousing,Transit and Ground Passenger Transportation,Taxi and Limousine Service
Transportation and Warehousing,Transit and Ground Passenger Transportation,Interurban and Rural Bus Transportation
Transportation and Warehousing,Transit and Ground Passenger Transportation,Urban Transit Systems
Transportation and Warehousing,Truck Transportation,Specialized Freight Trucking
Transportation and Warehousing,Truck Transportation,General Freight Trucking
Transportation and Warehousing,Water Transportation,Inland Water Transportation
Transportation and Warehousing,Water Transportation,"Deep Sea, Coastal, and Great Lakes Water Transportation"
Transportation and Warehousing,Rail Transportation,
Transportation and Warehousing,Air Transportation,Nonscheduled Air Transportation
Transportation and Warehousing,Air Transportation,Scheduled Air Transportation
Retail Trade,Nonstore Retailers ,Direct Selling Establishments 
Retail Trade,Nonstore Retailers ,Vending Machine Operators 
Retail Trade,Nonstore Retailers ,Electronic Shopping and Mail-Order Houses 
Retail Trade,Miscellaneous Store Retailers ,Other Miscellaneous Store Retailers 
Retail Trade,Miscellaneous Store Retailers ,Used Merchandise Stores 
Retail Trade,Miscellaneous Store Retailers ,"Office Supplies, Stationery, and Gift Stores "
Retail Trade,Miscellaneous Store Retailers ,Florists 
Retail Trade,General Merchandise Stores ,"General Merchandise Stores, including Warehouse Clubs and Supercenters "
Retail Trade,General Merchandise Stores ,Department Stores 
Retail Trade,"Sporting Goods, Hobby, Musical Instrument, and Book Stores ",Book Stores and News Dealers 
Retail Trade,"Sporting Goods, Hobby, Musical Instrument, and Book Stores ","Sporting Goods, Hobby, and Musical Instrument Stores "
Retail Trade,Clothing and Clothing Accessories Stores ,"Jewelry, Luggage, and Leather Goods Stores "
Retail Trade,Clothing and Clothing Accessories Stores ,Shoe Stores 
Retail Trade,Clothing and Clothing Accessories Stores ,Clothing Stores 
Retail Trade,Gasoline Stations ,
Retail Trade,Health and Personal Care Stores ,
Retail Trade,Food and Beverage Stores ,"Beer, Wine, and Liquor Stores "
Retail Trade,Food and Beverage Stores ,Specialty Food Stores 
Retail Trade,Food and Beverage Stores ,Grocery Stores 
Retail Trade,Building Material and Garden Equipment and Supplies Dealers ,Lawn and Garden Equipment and Supplies Stores 
Retail Trade,Building Material and Garden Equipment and Supplies Dealers ,Building Material and Supplies Dealers 
Retail Trade,Electronics and Appliance Stores ,
Retail Trade,Furniture and Home Furnishings Stores ,Home Furnishings Stores 
Retail Trade,Furniture and Home Furnishings Stores ,Furniture Stores 
Retail Trade,Motor Vehicle and Parts Dealers ,"Automotive Parts, Accessories, and Tire Stores "
Retail Trade,Motor Vehicle and Parts Dealers ,Other Motor Vehicle Dealers 
Retail Trade,Motor Vehicle and Parts Dealers ,Automobile Dealers 
Wholesale Trade,Wholesale Electronic Markets and Agents and Brokers ,
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ",Miscellaneous Nondurable Goods Merchant Wholesalers 
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods ","Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers "
